"ProvincialSeedlotsID","ExperimentalClimate","HtFinalS01_mm","HeightFinalS02_mm","FinalStemDiamS02_mm","MaxGthRate_mm_Day","FinalShootWeightS02_g","FinalRootWeightS02_g","TotalWeight","RootShoot_Ratio","BudSet","BudBreakS02_day","LinearGthS02_Days","Gth5pctS02_Day","Gth95pctS02_Day","Gth5.95pctS02_Days","ColdInjuryFallS02_Mean","ColdInjuryMidWinterS02_Mean","ColdInjurySpringS02_Mean","Latitude","Longitude","Elevation","MAT","MWMT","MCMT","TD","log(MAP)","log(MSP)","AHM","SHM","DD0","DD5","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD"
"AB_GSIMS_1956","MAT06",35.650487189337,81.0032488445467,2.19182469001298,1.51922248120589,1.07889873200461,0.347773536974348,1.43007157802492,0.302146063966832,168.556170257586,45.924582547035,5.39394759752271,132.251548980802,174.604478898242,42.4025013907929,76.9268075988251,72.9652188423449,69.2296138668058,49.67,-110.25,1160,3.4,16.9,-10.4,27.3,6.06842558824411,5.54907608489522,31,65.9,1179,1405,151,149,248,99,128,-42.5,37.4,660,350
"AB_GSIMS_2186","MAT06",42.2969385887082,107.995988455611,3.22324036835025,2.64641149683932,3.80604598485778,1.25603437465092,5.05767348324264,0.33422957247731,144.928293334255,47.7502440806122,4.13071149648164,139.452024021417,175.759544817774,37.0466047006545,43.0916733938494,35.5799804917903,67.2029961049733,54.72,-115.42,1160,1.8,13.8,-9.9,23.8,6.50428817353665,6.15697898558556,17.6,29.3,1305,1032,151,146,258,112,163,-41.2,29.6,462,35
"AB_GSIMS_2193","MAT06",NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9247533369066,NA,NA,NA,NA,NA,NA,NA,53.9,-119.07,1220,2.3,13.5,-8.5,22,6.36818718635049,5.88610403145016,21.1,37.5,1126,982,146,158,252,94,174,-42,31,497,96
"AB_GSIMS_2206","MAT06",36.0581043115034,118.998374009857,3.15857981851279,2.30242909376028,3.6396564478271,1.88735316732454,5.52497093350752,0.524472247620249,144.96712996001,45.4008377326949,5.4561771109997,126.460464207392,179.181064043803,54.0981854215697,51.118738222305,38.7143223044943,67.6013978499529,54.65,-118.83,1021,2,14.1,-11.2,25.3,6.4085287910595,5.95842469302978,19.8,36.5,1296,1074,153,148,255,106,174,-43.6,31.1,490,64
"AB_GSIMS_2212","MAT06",32.3895706413433,87.9984289095724,2.38552901733894,2.27455926381859,1.54904521926818,0.917217154364487,2.46466219147899,0.487509660532919,151.474232057238,49.9246181282599,3.96200099756118,135.693876103029,169.3393468618,33.3489182978283,66.9680846042568,65.5729889199749,70.1096044135691,54.42,-119,1189,2.1,13.7,-9.6,23.3,6.53233429222235,6.0591231955818,17.6,32,1206,1001,153,151,258,107,202,-42.5,30.1,463,35
"AB_GSIMS_2235","MAT06",39.366651157295,116.502137019036,2.8904743368172,2.31533882692514,2.16252916634558,0.725102463278404,2.88989070204956,0.303656626981029,161.037479684304,46.0119563722807,5.00002211411949,129.499210577453,176.83838606166,47.2516984635893,51.6243909881011,46.6235596539918,36.073978466158,55.63,-113.45,914,-0.8,13.9,-19,32.9,6.22257626807137,5.82600010738045,18.3,40.9,2055,930,136,160,244,83,149,-46.3,31.2,470,94
"AB_GSIMS_2237","MAT06",28.2725453472327,87.5007976421063,2.20347561442354,1.85589053210817,1.401034619643,0.677008035627447,2.07889836367936,0.48731144574521,149.514482644064,44.0556770870642,5.50296957116036,126.097694273366,173.795055837622,47.5756772245583,56.9737940692521,48.5644579823457,64.4526539273362,59.7,-117.98,731,-3.9,14,-24.4,38.4,6.00388706710654,5.48063892334199,15,58.3,3031,843,123,156,239,82,168,-49.3,32.2,384,144
"AB_GSIMS_2424","MAT06",35.3789617197425,101.505267839111,2.81760230676172,1.90861362437522,2.15989012951645,0.611165431600852,2.77655991760155,0.292846333949355,170.090668124507,43.8371695824485,5.38797706133042,128.554289292204,176.411426667818,48.0040219527232,61.6495689199023,62.3090878046102,77.4391691463858,49.92,-114.08,1432,2.9,15.3,-10.2,25.5,6.45990445437753,5.76832099579377,20.2,47.9,1114,1178,147,163,255,92,237,-42.2,33.7,584,178
"AB_GSIMS_2426","MAT06",32.1434586654761,79.4976011738312,2.13833801905214,1.6068013824814,1.26942000707999,0.881498358631154,2.14835338404637,0.556877480160159,151.458443216095,46.0121520690061,5.0495022121044,129.397201037157,168.934111396856,39.6481102900915,84.5226674363335,50.1125107844321,83.427999856392,51.33,-114.58,1371,2.4,13.8,-10.3,24,6.24997524225948,5.84643877505772,23.9,39.8,1134,1015,135,164,243,79,128,-43.5,32.8,562,152
"AB_GSIMS_2428","MAT06",36.5355236911115,86.4960372821005,2.09885714069918,1.20103952038462,1.52367857165541,0.393953171914119,1.91348796925912,0.278106639648949,160.932558283092,46.1868712545151,8.36172686740778,118.642816527236,185.081638402176,66.2470263518022,49.4962667315066,58.2035267887525,57.5262020682491,52.17,-115.67,1676,0.5,12.1,-12.3,24.5,6.53087762772588,6.0913098820777,15.2,27.5,1476,765,126,164,244,80,226,-46,30.5,435,5
"AB_GSIMS_2430","MAT06",34.4220126589312,96.0012298499953,2.94604707326419,2.5213313380364,1.92290733449246,0.734381642348953,2.65858323844892,0.385810097202424,154.021672390662,46.0119955116258,3.74991813371648,133.348808669394,166.347531128699,32.9509808288897,67.7040462777476,40.6213498800799,50.0200585872222,53.08,-115.5,975,2.3,14.9,-11.9,26.8,6.38687931936265,6.06610809010375,20.7,34.6,1321,1182,153,146,253,107,125,-44.9,32.1,527,64
"AB_GSIMS_2431","MAT06",41.3839945835276,124.505185369198,3.41719982825691,2.76161294356715,4.00401541752981,1.58019081151635,5.58962287545604,0.395363591702192,153.089231097812,45.8371731405708,4.38796760856652,134.804252755108,177.007712583003,42.3539567132051,27.7022648553247,34.3997960069818,56.0052587206851,55.25,-116.17,792,1.2,14.8,-15,29.7,6.34388043412633,5.94803498918065,19.7,38.5,1642,1139,152,146,252,107,150,-46.8,31.8,496,84
