sim.generation	sample_size	mean_phen0	sd_phen0	corr0_1	corr0_2	mean_phen1	sd_phen1	corr1_1	corr1_2
200	74	0.00355015	0.251674	-0.017116	0.0480526	-0.00306501	0.315922	0.0112176	0.0116483
400	68	-0.00254639	0.227185	0.00708461	0.00410935	-0.0104502	0.281614	-0.0013928	0.0208322
600	83	0.00400057	0.3057	0.0385015	-0.0300633	0.00151593	0.296677	-0.0194143	-0.013268
800	67	0.0011457	0.303386	-0.00203714	0.0164322	0.0150126	0.279094	-0.00904445	-0.0111782
1000	69	-0.0225897	0.267477	0.000556006	-0.0759216	0.00955909	0.302577	0.0209948	0.0554621
1200	77	-0.0687837	0.262361	0.0100084	-0.000343223	0.0169004	0.279213	-0.0343821	0.00603958
1400	53	-0.0848448	0.232708	-0.0546267	0.0190837	0.0434986	0.235887	0.0107148	0.000312032
1600	81	-0.110334	0.323246	-0.0401731	0.00971821	0.0549402	0.328604	0.0199008	0.0232548
1800	69	-0.0568384	0.301476	-0.0204442	-0.00538222	-0.143628	0.325101	-0.0605616	0.0403876
2000	72	0.0176707	0.290347	0.041921	0.0292771	0.0499308	0.365122	0.0351136	0.0372818
2200	91	0.0852196	0.337065	0.0174283	0.0408283	-0.121952	0.374511	0.00279965	0.0122573
2400	86	-0.162884	0.292449	0.0336555	0.0365407	0.0108298	0.301551	0.0423291	-0.00843986
2600	83	0.0105677	0.311322	0.000257891	0.0336141	0.0422062	0.31787	0.0356291	-0.0198202
2800	71	0.00171205	0.305599	0.0172496	-0.0439559	-0.098921	0.291608	-0.0353377	-0.0307509
3000	84	-0.07754	0.312582	0.0351101	-0.0347256	0.0290344	0.335849	0.0216431	0.0189919
3200	70	-0.12958	0.230724	-0.0430664	0.0157994	-0.0376313	0.280623	-0.0783201	0.0595216
3400	80	0.029602	0.298846	0.00154407	-0.0253578	0.0638931	0.344784	-0.0190781	-0.0206189
3600	82	0.112185	0.294491	0.0209928	-0.0146449	0.031997	0.25184	-0.00618618	-0.0729367
3800	89	0.157101	0.260874	0.00655138	-0.0217895	0.012268	0.281009	-0.0463458	0.0011885
4000	79	0.147546	0.257085	-0.0110639	0.0181679	0.0261845	0.273976	-0.038979	0.0359932
4200	143	0.0608349	0.537744	0.243793	-0.0630625	0.0394784	0.410768	-0.00843962	0.194003
4400	122	-0.189452	0.49138	0.154063	-0.127843	0.0235681	0.460364	-0.124207	0.167029
4600	125	0.0245063	0.544188	0.309663	-0.119562	0.143705	0.390159	-0.112786	0.174024
4800	141	-0.146193	0.50001	0.233563	-0.0673505	0.0232938	0.418405	-0.102909	0.241442
5000	135	-0.103301	0.56818	0.251488	-0.106998	-0.0563157	0.435269	-0.107019	0.2132
5200	147	-0.261637	0.559808	0.315559	-0.0900879	0.0404394	0.461319	-0.108376	0.198262
5400	155	-0.240481	0.540557	0.263475	-0.0539055	-0.113988	0.52274	-0.0893093	0.228514
5600	151	-0.149176	0.5676	0.253847	-0.0420353	0.0374489	0.517322	-0.0762746	0.171504
5800	187	0.0188683	0.541462	0.232004	-0.0997342	0.117682	0.555884	-0.0343436	0.157713
6000	171	-0.150219	0.639415	0.296933	-0.0689419	-0.00255394	0.437089	-0.0535201	0.136214
6200	177	-0.22892	0.482344	0.296278	-0.0837915	0.145165	0.478702	-0.0845863	0.255602
6400	177	-0.199415	0.45524	0.181823	-0.118406	-0.00426552	0.45575	-0.0439908	0.188972
6600	193	0.0077056	0.560236	0.251116	0.0190391	0.0127389	0.566724	0.0244228	0.243158
6800	191	-0.238592	0.576009	0.268356	0.0294646	-0.0779757	0.560334	-0.0467171	0.249627
7000	193	-0.0752667	0.54172	0.289627	-0.131429	0.035369	0.466306	-0.170803	0.271593
7200	187	-0.138075	0.522538	0.223438	-0.114751	0.112289	0.432549	-0.104268	0.177633
7400	184	-0.0600372	0.458008	0.247389	-0.11104	-0.00757863	0.553805	-0.186508	0.247491
7600	204	-0.098922	0.400908	0.142621	-0.0923212	0.199513	0.497112	-0.0695411	0.231479
7800	206	-0.338504	0.504502	0.275152	-0.0775451	0.0365856	0.57721	-0.0811159	0.170679
8000	217	-0.0956375	0.524943	0.258087	-0.13987	0.13643	0.714169	-0.19699	0.309543
