position selCoef originGen type freq
184 -0.0185775 8000 m2 0.0005
425 0.234461 7637 m2 1
1203 -0.0634552 7996 m2 0.002
1488 0.158995 5254 m2 1
2259 0.180889 5482 m2 1
2340 0.0905132 2747 m2 1
2420 0.199041 5242 m2 1
4277 0.0802864 4925 m2 1
5305 0.146189 7999 m2 0.0005
6326 0.070467 7597 m2 0.998
6726 0.191272 5892 m2 1
7103 0.00267986 7811 m2 0.0165
8215 0.152805 7981 m2 0.0015
8593 -0.174065 7996 m2 0.001
9256 -0.0810398 8000 m2 0.0005
10239 0.121689 3229 m2 1
11096 0.104069 7224 m2 1
11126 -0.0224121 7996 m2 0.0005
12850 0.151076 8000 m2 0.0005
14613 0.166229 7456 m2 0.2525
15112 0.0537168 7999 m2 0.0005
15145 0.189766 7997 m2 0.002
15481 0.113559 5322 m2 1
16203 -0.0364167 8000 m2 0.0005
18169 0.124377 6073 m2 1
18415 -0.0428113 7999 m2 0.001
19412 -0.00408446 7998 m2 0.0005
21147 -0.0903002 8000 m2 0.0005
22466 0.0565579 5454 m2 1
23847 0.0393079 7994 m2 0.001
24348 0.0566395 7996 m2 0.005
26767 0.0199302 8000 m2 0.0005
27194 0.177346 4084 m2 1
27210 0.0964167 5774 m2 1
27927 0.0498957 4597 m2 1
28708 0.0103975 7999 m2 0.0005
28888 -0.076769 8000 m2 0.0005
29685 -0.123792 8000 m2 0.0005
30255 0.10343 5480 m2 1
30830 0.247131 5803 m2 1
31876 0.217433 2304 m2 1
32663 -0.0507692 7996 m2 0.003
34570 0.122915 7917 m2 0.103
34625 -0.0291388 8000 m2 0.0005
36339 0.0174063 8000 m2 0.0005
36384 -0.0843782 8000 m2 0.0005
36844 0.201326 7451 m2 0.7535
37677 -0.00159488 7999 m2 0.0005
38812 -0.0439501 7976 m2 0.0005
43225 0.0297007 7999 m2 0.0005
43574 0.166263 7999 m2 0.0005
44888 0.157459 5925 m2 1
46511 0.0927298 3159 m2 1
46973 0.109082 6197 m2 1
47568 0.0668413 5470 m2 1
49365 0.0458485 4794 m2 1
49890 0.0683938 8000 m2 0.0005
100034 -0.150391 8000 m2 0.0005
101779 -0.0623872 7961 m2 0.014
101790 -0.0496728 8000 m2 0.0005
101974 0.155761 5652 m2 1
102141 0.0679479 7990 m2 0.0025
102350 0.067644 7944 m2 0.027
102516 0.133789 6396 m2 1
102977 0.0259384 8000 m2 0.0005
103031 -0.00517955 7998 m2 0.0005
103037 -0.000879402 7981 m2 0.0015
104631 -0.215905 8000 m2 0.0005
105190 0.0697699 7928 m2 0.0105
